PO Number,Supplier,Department,Category,PO Amount ($),PO Date,Amount Spent ($)
PO-0070,Supplier R,Quality,Lab Supplies,5107,2025-03-04,4521.14
PO-0071,Supplier S,Quality,Software,113918,2027-02-20,80285.29
PO-0072,Supplier T,R&D,Office Supplies,94780,2027-05-30,75045.11
PO-0073,Supplier U,R&D,Hardware,110836,2025-01-26,93101.41
PO-0074,Supplier V,IT,Equipment,81682,2026-03-04,65581.93
PO-0075,Supplier W,Finance,Equipment,35637,2025-08-23,26573.61
PO-0076,Supplier X,Quality,Lab Supplies,61744,2025-04-10,47324.3
PO-0077,Supplier Y,IT,Software,147503,2027-06-21,137185.77
PO-0078,Supplier Z,Quality,Hardware,30135,2027-09-27,22768.03
PO-0079,Supplier A,R&D,Consulting,144844,2026-08-23,109196.48
PO-0080,Supplier B,Quality,Office Supplies,95455,2025-09-18,58602.93
PO-0081,Supplier C,Facilities,Reagents,35625,2027-01-29,28412.94
PO-0082,Supplier D,Finance,Hardware,82035,2026-02-18,71181.72
PO-0083,Supplier E,R&D,Equipment,13840,2026-02-04,13049.14
PO-0084,Supplier F,Manufacturing,Reagents,67144,2026-06-02,42802.12
PO-0085,Supplier G,Quality,Lab Supplies,110221,2025-10-07,86717.62
PO-0086,Supplier H,R&D,Consulting,70003,2026-10-08,43070.38
PO-0087,Supplier I,R&D,Office Supplies,113146,2025-04-12,84097.96
PO-0088,Supplier J,R&D,Software,97974,2025-07-25,70709.06
PO-0089,Supplier K,IT,Hardware,117713,2025-12-25,99198.14
PO-0090,Supplier L,Clinical,Equipment,102229,2025-11-24,99227.36
PO-0091,Supplier M,Finance,Office Supplies,30460,2025-12-04,26903.59
PO-0092,Supplier N,Facilities,Reagents,100106,2027-08-31,82080.9
PO-0093,Supplier O,IT,Software,55377,2025-11-09,50847.2
PO-0094,Supplier P,IT,Lab Supplies,63143,2026-05-04,37942.97
PO-0095,Supplier Q,R&D,Software,72291,2026-10-28,58457.19
PO-0096,Supplier R,Facilities,Lab Supplies,65429,2025-10-29,62669.2
PO-0097,Supplier S,Finance,Software,103739,2025-03-14,97145.35
PO-0098,Supplier T,Clinical,Office Supplies,116686,2026-07-04,93065.19
PO-0099,Supplier U,R&D,Software,72375,2027-01-02,65370.21
PO-0100,Supplier V,Clinical,Consulting,127358,2026-10-13,118525.57
PO-0101,Supplier W,Clinical,Equipment,77843,2025-12-05,54432.06
PO-0102,Supplier X,R&D,Hardware,111856,2027-01-30,91555.46
PO-0103,Supplier Y,Manufacturing,Software,33968,2026-06-11,24058.26
PO-0104,Supplier Z,Quality,Reagents,85603,2026-04-01,76673.18
PO-0105,Supplier A,R&D,Reagents,86289,2027-02-12,64269.19
PO-0106,Supplier B,Clinical,Reagents,34287,2027-05-08,21960.69
PO-0107,Supplier C,IT,Software,142282,2026-01-28,104286.87
PO-0108,Supplier D,Clinical,Consulting,120917,2026-12-28,101476.74
PO-0109,Supplier E,Quality,Software,132271,2025-12-30,127365.46
PO-0110,Supplier F,R&D,Consulting,101730,2027-08-18,81814.66
PO-0111,Supplier G,Finance,Consulting,101436,2025-10-12,72722.96
PO-0112,Supplier H,Quality,Reagents,109056,2027-08-28,81845.51
PO-0113,Supplier I,Quality,Reagents,74088,2027-02-08,64095.29
PO-0114,Supplier J,Quality,Hardware,149079,2026-07-27,119087.42
PO-0115,Supplier K,Quality,Equipment,77373,2027-08-27,64009.54
PO-0116,Supplier L,Facilities,Equipment,94967,2027-05-12,73695.75
PO-0117,Supplier M,R&D,Consulting,121378,2026-03-17,91968.39
PO-0118,Supplier N,Finance,Reagents,147463,2025-07-22,136742.98
PO-0119,Supplier O,IT,Hardware,69280,2027-07-18,66260.55
PO-0120,Supplier P,IT,Lab Supplies,14125,2027-09-06,10388.74
PO-0121,Supplier Q,R&D,Equipment,52957,2027-08-30,39386.71
PO-0122,Supplier R,IT,Lab Supplies,65806,2026-09-25,55721.59
PO-0123,Supplier S,R&D,Software,65528,2025-08-20,45414.11
PO-0124,Supplier T,Facilities,Hardware,117841,2026-02-22,75823.17
PO-0125,Supplier U,Manufacturing,Software,50124,2025-10-30,46142.92
PO-0126,Supplier V,R&D,Consulting,82280,2026-02-21,52309.28
PO-0127,Supplier W,Finance,Equipment,89184,2026-07-18,61802.71
PO-0128,Supplier X,R&D,Equipment,90762,2026-03-07,89021.42
PO-0129,Supplier Y,Finance,Lab Supplies,82620,2026-09-03,57699.15
PO-0130,Supplier Z,Quality,Lab Supplies,59853,2025-02-16,58722.83
PO-0131,Supplier A,Quality,Lab Supplies,32337,2026-12-27,19937.05
PO-0132,Supplier B,Quality,Consulting,96949,2026-03-18,82594.45
PO-0133,Supplier C,R&D,Equipment,56152,2026-03-28,37207.36
PO-0134,Supplier D,IT,Consulting,24695,2025-03-16,22815.59
PO-0135,Supplier E,Manufacturing,Equipment,121170,2025-04-27,102416.9
PO-0136,Supplier F,Manufacturing,Software,129819,2025-09-02,100414.39
PO-0137,Supplier G,Clinical,Lab Supplies,98181,2025-01-22,59707.95
PO-0138,Supplier H,Finance,Equipment,123325,2025-02-17,110548.96
PO-0139,Supplier I,IT,Hardware,77834,2026-11-22,66823.58
PO-0140,Supplier J,Finance,Office Supplies,102832,2027-08-29,95722.91
PO-0141,Supplier K,Manufacturing,Software,69885,2026-01-06,53904.79
PO-0142,Supplier L,Clinical,Office Supplies,63455,2025-11-29,55671.17
PO-0143,Supplier M,Manufacturing,Lab Supplies,44710,2027-03-21,30907.89
PO-0144,Supplier N,IT,Software,138095,2026-05-30,137573.87
PO-0145,Supplier O,Clinical,Hardware,149604,2025-03-07,109773.56
PO-0146,Supplier P,Facilities,Reagents,77736,2026-11-28,62769.06
PO-0147,Supplier Q,Clinical,Hardware,111547,2026-04-20,77853.57
PO-0148,Supplier R,Finance,Consulting,128926,2027-03-29,84700.06
PO-0149,Supplier S,Manufacturing,Consulting,42972,2027-05-20,38991.17
PO-0150,Supplier T,Quality,Office Supplies,97001,2027-05-27,67068.26
PO-0151,Supplier U,Finance,Software,38843,2026-05-27,26055.89
PO-0152,Supplier V,Facilities,Software,83664,2027-01-31,74409.19
PO-0153,Supplier W,R&D,Lab Supplies,64652,2027-02-27,44880.17
PO-0154,Supplier X,R&D,Software,140436,2026-02-19,126150.86
PO-0155,Supplier Y,Clinical,Consulting,125383,2025-11-28,119078.91
PO-0156,Supplier Z,Facilities,Software,87263,2026-11-18,60913.98
PO-0157,Supplier A,Facilities,Lab Supplies,34725,2025-09-20,32190.75
PO-0158,Supplier B,R&D,Lab Supplies,131597,2025-01-16,114123.79
PO-0159,Supplier C,Facilities,Hardware,34600,2025-01-10,34155.46
PO-0160,Supplier D,Quality,Lab Supplies,135035,2027-06-14,89473.38
PO-0161,Supplier E,R&D,Office Supplies,107292,2026-08-20,67232.74
PO-0162,Supplier F,Finance,Reagents,51712,2026-09-22,39584.59
PO-0163,Supplier G,Quality,Office Supplies,106219,2027-08-02,68749.59
PO-0164,Supplier H,IT,Equipment,59942,2025-05-07,49805.3
PO-0165,Supplier I,Clinical,Office Supplies,71154,2027-06-05,49249.69
PO-0166,Supplier J,Clinical,Hardware,46069,2026-05-05,34423.83
PO-0167,Supplier K,Facilities,Software,65328,2025-08-03,60741.04
PO-0168,Supplier L,Clinical,Reagents,118486,2026-02-12,89788.86
PO-0169,Supplier M,IT,Reagents,6197,2025-06-06,4819.59
PO-0170,Supplier N,Finance,Reagents,54322,2025-11-14,52999.1
PO-0171,Supplier O,Facilities,Equipment,93691,2026-09-30,70061.47
PO-0172,Supplier P,Manufacturing,Lab Supplies,116437,2025-06-30,109921.39
PO-0173,Supplier Q,Manufacturing,Hardware,45417,2027-08-21,37517.51
PO-0174,Supplier R,Quality,Reagents,14272,2025-10-08,9500.98
PO-0175,Supplier S,Finance,Equipment,75551,2027-04-12,69077.71
PO-0176,Supplier T,Finance,Lab Supplies,119434,2025-03-08,99356.43
PO-0177,Supplier U,Quality,Software,121264,2027-09-16,103249.04
PO-0178,Supplier V,Clinical,Hardware,27717,2025-11-22,20289.57
PO-0179,Supplier W,Finance,Equipment,100905,2025-07-06,69086.89
PO-0180,Supplier X,IT,Software,101308,2027-09-11,88075.55
PO-0181,Supplier Y,Quality,Equipment,8501,2026-12-15,8485.33
PO-0182,Supplier Z,Manufacturing,Equipment,40160,2027-02-18,40132.39
PO-0183,Supplier A,Clinical,Reagents,143021,2026-12-08,100849.01
PO-0184,Supplier B,IT,Office Supplies,106338,2026-11-07,77443.98
PO-0185,Supplier C,Quality,Lab Supplies,7269,2026-07-23,7017.83
PO-0186,Supplier D,IT,Consulting,33733,2027-02-04,33466.43
PO-0187,Supplier E,Finance,Hardware,65601,2026-11-15,57004.1
PO-0188,Supplier F,Manufacturing,Hardware,124055,2025-07-09,86284.14
PO-0189,Supplier G,Manufacturing,Software,38085,2027-01-22,33012.69
PO-0190,Supplier H,Manufacturing,Consulting,16977,2026-09-17,12710.24
PO-0191,Supplier I,Manufacturing,Lab Supplies,57561,2026-01-13,54221.32
PO-0192,Supplier J,Quality,Lab Supplies,110112,2025-04-28,75486.02
PO-0193,Supplier K,IT,Equipment,90104,2026-01-25,65375.79
PO-0194,Supplier L,IT,Lab Supplies,33537,2026-08-27,28659.36
PO-0195,Supplier M,Clinical,Software,57359,2025-06-16,43101.91
PO-0196,Supplier N,Facilities,Consulting,53162,2026-02-20,43247.91
PO-0197,Supplier O,IT,Consulting,133118,2025-10-20,113646.27
PO-0198,Supplier P,Finance,Office Supplies,19647,2025-02-11,19132.25
PO-0199,Supplier Q,Finance,Reagents,48927,2025-03-26,42730.62
PO-0200,Supplier R,Finance,Software,5183,2025-04-23,4795.18
PO-0201,Supplier S,R&D,Lab Supplies,43769,2025-08-09,35589.02
PO-0202,Supplier T,Facilities,Equipment,55075,2026-07-21,50976.43
PO-0203,Supplier U,Manufacturing,Reagents,131910,2025-06-11,94443.11
PO-0204,Supplier V,Finance,Equipment,134400,2026-10-01,86814.61
PO-0205,Supplier W,Finance,Software,69591,2026-08-06,51966.97
PO-0206,Supplier X,Manufacturing,Consulting,34803,2026-08-29,25652.99
PO-0207,Supplier Y,Facilities,Equipment,43772,2026-04-17,37387.46
PO-0208,Supplier Z,Quality,Equipment,13192,2026-04-29,10666.14
PO-0209,Supplier A,Clinical,Consulting,37581,2025-07-04,30407.74
PO-0210,Supplier B,Quality,Office Supplies,126037,2026-10-05,102585.27
PO-0211,Supplier C,Manufacturing,Office Supplies,104836,2026-03-19,81470.78
PO-0212,Supplier D,Manufacturing,Equipment,74918,2025-07-07,65166.66
PO-0213,Supplier E,R&D,Office Supplies,27502,2026-06-18,27369.05
PO-0214,Supplier F,Clinical,Software,15715,2027-01-24,14902.86
PO-0215,Supplier G,R&D,Software,137770,2025-10-03,109283.62
PO-0216,Supplier H,Quality,Consulting,102497,2025-07-15,80757.35
PO-0217,Supplier I,Facilities,Office Supplies,8491,2026-04-22,6377.36
PO-0218,Supplier J,Finance,Hardware,42520,2026-01-23,35013.48
PO-0219,Supplier K,IT,Reagents,111379,2025-02-24,110207.35
PO-0220,Supplier L,Clinical,Equipment,31411,2026-10-31,19477.09
PO-0221,Supplier M,IT,Equipment,58074,2027-06-03,35904.54
PO-0222,Supplier N,Finance,Consulting,33231,2027-04-03,25112.45
PO-0223,Supplier O,Facilities,Reagents,133628,2025-04-05,126537.15
PO-0224,Supplier P,Clinical,Consulting,25432,2026-07-14,18495.93
PO-0225,Supplier Q,R&D,Office Supplies,110696,2025-10-28,98760.52
PO-0226,Supplier R,IT,Reagents,60928,2025-04-22,52357.63
PO-0227,Supplier S,IT,Reagents,89104,2027-03-12,81878.29
PO-0228,Supplier T,Quality,Consulting,76345,2025-01-24,70049.09
PO-0229,Supplier U,IT,Lab Supplies,54566,2025-01-13,46215.92
PO-0230,Supplier V,Clinical,Equipment,47492,2025-05-18,46518.52
PO-0231,Supplier W,Quality,Office Supplies,20394,2025-08-10,13913.09
PO-0232,Supplier X,Facilities,Reagents,100380,2026-06-25,66342.48
PO-0233,Supplier Y,IT,Lab Supplies,143884,2025-06-24,124387.97
PO-0234,Supplier Z,IT,Office Supplies,94733,2027-01-18,91789.71
PO-0235,Supplier A,Clinical,Lab Supplies,39601,2026-10-09,28355.23
PO-0236,Supplier B,Clinical,Lab Supplies,44101,2027-04-07,32020.67
PO-0237,Supplier C,Finance,Hardware,109188,2027-08-10,73782.03
PO-0238,Supplier D,Facilities,Reagents,44908,2025-01-09,38406.72
PO-0239,Supplier E,Clinical,Lab Supplies,97563,2027-08-13,63088.04
PO-0240,Supplier F,Facilities,Consulting,33803,2026-03-13,21009.65
PO-0241,Supplier G,Finance,Equipment,108380,2027-02-11,82955.42
PO-0242,Supplier H,Clinical,Hardware,124273,2025-05-05,112431.18
PO-0243,Supplier I,Manufacturing,Equipment,33676,2027-01-04,33046.21
PO-0244,Supplier J,Clinical,Reagents,46620,2026-08-17,46293.25
PO-0245,Supplier K,IT,Hardware,144495,2026-05-21,108900.71
PO-0246,Supplier L,IT,Office Supplies,102002,2027-08-11,86760.5
PO-0247,Supplier M,Facilities,Software,136664,2027-06-18,113759.49
PO-0248,Supplier N,Facilities,Hardware,54057,2025-04-20,51287.66
PO-0249,Supplier O,Facilities,Consulting,91839,2026-08-01,82845.38
PO-0250,Supplier P,Finance,Hardware,14322,2026-11-13,12883.65
PO-0251,Supplier Q,IT,Office Supplies,50359,2025-06-13,41621.28
PO-0252,Supplier R,R&D,Office Supplies,119599,2027-02-13,83441.63
PO-0253,Supplier S,IT,Hardware,99969,2026-09-08,77136.02
PO-0254,Supplier T,Facilities,Hardware,54292,2027-03-31,43192.33
PO-0255,Supplier U,Finance,Equipment,27343,2025-06-27,22598.28
PO-0256,Supplier V,R&D,Reagents,34767,2026-02-16,33563.46
PO-0257,Supplier W,Clinical,Hardware,98612,2027-09-24,77237.84
PO-0258,Supplier X,IT,Office Supplies,145546,2027-07-11,119068.73
PO-0259,Supplier Y,Clinical,Equipment,101650,2026-08-09,98818.11
PO-0260,Supplier Z,Finance,Software,45649,2027-04-18,41267.29
PO-0261,Supplier A,Finance,Reagents,95747,2025-06-14,86122.77
PO-0262,Supplier B,Quality,Hardware,53332,2027-08-26,34528.7
PO-0263,Supplier C,Clinical,Consulting,6496,2025-05-21,4217.77
PO-0264,Supplier D,R&D,Equipment,69601,2025-01-06,56879.34
PO-0265,Supplier E,Facilities,Hardware,147223,2025-06-07,132934.4
PO-0266,Supplier F,Clinical,Lab Supplies,141280,2026-11-03,140987.55
PO-0267,Supplier G,Finance,Software,85124,2025-07-02,60212.39
PO-0268,Supplier H,R&D,Reagents,99077,2027-05-19,82923.41
PO-0269,Supplier I,Quality,Hardware,128656,2025-12-21,123313.63
PO-0270,Supplier J,Facilities,Software,32127,2026-07-15,22604.56
PO-0271,Supplier K,Finance,Software,45616,2027-07-10,37178.85
PO-0272,Supplier L,Quality,Software,84192,2027-05-13,72360.36
PO-0273,Supplier M,Facilities,Equipment,72810,2026-11-27,51573.77
PO-0274,Supplier N,Manufacturing,Office Supplies,110560,2025-05-22,109515.79
PO-0275,Supplier O,Quality,Equipment,115378,2026-01-01,98709.71
PO-0276,Supplier P,Quality,Consulting,101971,2026-01-03,72532.7
PO-0277,Supplier Q,Facilities,Software,50455,2027-09-18,35811.85
PO-0278,Supplier R,Finance,Reagents,69007,2027-01-17,66313.93
PO-0279,Supplier S,Manufacturing,Lab Supplies,33145,2027-05-04,21860.81
PO-0280,Supplier T,Manufacturing,Reagents,28522,2027-02-26,21696.26
PO-0281,Supplier U,Manufacturing,Reagents,64848,2027-03-18,48469.46
PO-0282,Supplier V,Quality,Reagents,70732,2026-09-23,67791.88
PO-0283,Supplier W,R&D,Software,58893,2025-04-14,40245.87
PO-0284,Supplier X,Facilities,Reagents,21937,2027-02-07,21851.68
PO-0285,Supplier Y,Facilities,Consulting,40320,2026-05-03,32322.77
PO-0286,Supplier Z,Finance,Equipment,7532,2026-01-14,6986.36
PO-0287,Supplier A,Finance,Lab Supplies,91447,2025-12-09,76818.09
PO-0288,Supplier B,Manufacturing,Office Supplies,42614,2026-04-16,33305.77
PO-0289,Supplier C,Clinical,Lab Supplies,75139,2027-04-08,61279.21
PO-0290,Supplier D,Manufacturing,Consulting,7589,2026-10-17,6007.16
PO-0291,Supplier E,Quality,Consulting,113067,2027-04-20,103787.61
PO-0292,Supplier F,Facilities,Office Supplies,16537,2025-05-08,15618.82
PO-0293,Supplier G,IT,Lab Supplies,108895,2027-07-07,73606.51
PO-0294,Supplier H,Manufacturing,Reagents,59048,2026-12-22,45854.56
PO-0295,Supplier I,IT,Lab Supplies,82514,2025-12-26,75016.64
PO-0296,Supplier J,IT,Equipment,6744,2025-05-06,6523.33
PO-0297,Supplier K,R&D,Reagents,77083,2026-12-18,60948.26
PO-0298,Supplier L,Finance,Lab Supplies,129603,2027-01-21,113709.13
PO-0299,Supplier M,IT,Equipment,145997,2027-06-10,133534.81
PO-0300,Supplier N,Quality,Hardware,146703,2027-02-05,116540.48
PO-0301,Supplier O,Finance,Software,11846,2025-08-18,9690.15
PO-0302,Supplier P,Finance,Office Supplies,62143,2025-03-17,40190.62
PO-0303,Supplier Q,Clinical,Reagents,63318,2027-05-16,63222.3
PO-0304,Supplier R,Manufacturing,Software,56222,2026-08-16,42948.53
PO-0305,Supplier S,Clinical,Reagents,7400,2026-04-14,5322.41
PO-0306,Supplier T,Quality,Equipment,135607,2026-05-12,120524.37
PO-0307,Supplier U,Finance,Software,72986,2026-05-02,62675.6
PO-0308,Supplier V,Quality,Lab Supplies,57004,2026-10-29,52693.46
PO-0309,Supplier W,R&D,Lab Supplies,29594,2025-03-27,19007.8
PO-0310,Supplier X,R&D,Software,137980,2026-11-10,137375.13
PO-0311,Supplier Y,Manufacturing,Consulting,149031,2026-03-30,90007.03
PO-0312,Supplier Z,R&D,Hardware,36985,2026-06-17,34128.18
PO-0313,Supplier A,R&D,Equipment,125823,2025-10-04,75884.89
PO-0314,Supplier B,Facilities,Software,51054,2027-07-17,49208.11
PO-0315,Supplier C,Finance,Reagents,44581,2025-09-12,38737.44
PO-0316,Supplier D,Manufacturing,Office Supplies,133369,2025-04-03,128828.0
PO-0317,Supplier E,Clinical,Lab Supplies,99616,2026-06-05,76706.0
PO-0318,Supplier F,Finance,Software,30991,2027-04-11,29293.71
PO-0319,Supplier G,Clinical,Reagents,128555,2027-08-05,85762.57
PO-0320,Supplier H,Clinical,Software,23397,2026-07-25,18589.25
PO-0321,Supplier I,IT,Hardware,85978,2025-10-27,82150.16
PO-0322,Supplier J,Manufacturing,Equipment,68090,2026-11-01,50878.31
PO-0323,Supplier K,Clinical,Lab Supplies,38896,2027-03-26,34370.0
PO-0324,Supplier L,Facilities,Lab Supplies,62786,2025-04-02,53607.62
PO-0325,Supplier M,Quality,Hardware,112422,2025-06-25,108598.73
PO-0326,Supplier N,Finance,Office Supplies,19314,2025-02-14,12629.06
PO-0327,Supplier O,Quality,Lab Supplies,59479,2027-09-14,42888.24
PO-0328,Supplier P,R&D,Software,47722,2027-07-05,29722.1
PO-0329,Supplier Q,R&D,Hardware,137958,2027-07-19,104305.81
PO-0330,Supplier R,Finance,Reagents,79406,2025-10-13,53178.52
PO-0331,Supplier S,Facilities,Office Supplies,74814,2025-06-23,72326.77
PO-0332,Supplier T,R&D,Lab Supplies,42841,2026-05-14,35098.66
PO-0333,Supplier U,Manufacturing,Consulting,24557,2026-06-09,22930.94
PO-0334,Supplier V,R&D,Reagents,11284,2027-03-30,7024.41
PO-0335,Supplier W,IT,Software,10251,2025-05-29,9075.11
PO-0336,Supplier X,Clinical,Lab Supplies,103702,2025-06-02,65486.27
PO-0337,Supplier Y,Finance,Equipment,92078,2026-11-16,72314.97
PO-0338,Supplier Z,Clinical,Consulting,30999,2027-06-26,22801.28
PO-0339,Supplier A,Finance,Equipment,128159,2027-05-15,127671.83
PO-0340,Supplier B,Quality,Reagents,121914,2027-04-27,91559.15
PO-0341,Supplier C,Quality,Consulting,57517,2026-07-01,48401.91
PO-0342,Supplier D,Manufacturing,Consulting,44228,2027-04-21,34834.76
PO-0343,Supplier E,Quality,Equipment,129115,2027-01-27,91563.12
PO-0344,Supplier F,Clinical,Equipment,36279,2026-09-09,23185.53
PO-0345,Supplier G,Facilities,Consulting,102543,2027-08-06,70569.46
PO-0346,Supplier H,Manufacturing,Lab Supplies,53541,2025-01-04,38620.19
PO-0347,Supplier I,Manufacturing,Lab Supplies,146469,2026-10-04,116209.28
PO-0348,Supplier J,IT,Hardware,67592,2026-05-19,44235.79
PO-0349,Supplier K,IT,Consulting,10499,2027-04-04,8549.13
PO-0350,Supplier L,Finance,Software,61636,2025-09-22,44612.26
PO-0351,Supplier M,R&D,Office Supplies,93460,2027-09-20,88301.02
PO-0352,Supplier N,Facilities,Lab Supplies,106379,2027-07-23,77750.48
PO-0353,Supplier O,IT,Software,113603,2027-04-06,92820.88
PO-0354,Supplier P,Manufacturing,Office Supplies,102906,2025-06-03,100537.64
PO-0355,Supplier Q,Facilities,Consulting,130007,2026-11-20,125012.73
PO-0356,Supplier R,Facilities,Reagents,45656,2026-12-20,36098.52
PO-0357,Supplier S,R&D,Consulting,12287,2025-05-02,10195.75
PO-0358,Supplier T,R&D,Lab Supplies,65920,2025-10-16,53942.18
PO-0359,Supplier U,Clinical,Hardware,142006,2026-09-24,124387.11
PO-0360,Supplier V,R&D,Consulting,33300,2025-04-01,21671.18
PO-0361,Supplier W,Clinical,Hardware,73629,2026-08-10,55238.25
PO-0362,Supplier X,IT,Reagents,30847,2025-08-02,21099.12
PO-0363,Supplier Y,Manufacturing,Reagents,7011,2026-06-28,6612.76
PO-0364,Supplier Z,Facilities,Reagents,129524,2026-02-27,82489.16
PO-0365,Supplier A,R&D,Hardware,89873,2025-01-23,73340.36
PO-0366,Supplier B,Manufacturing,Hardware,148794,2026-04-30,111008.04
PO-0367,Supplier C,R&D,Lab Supplies,126568,2027-01-03,100258.64
PO-0368,Supplier D,Quality,Office Supplies,100026,2026-04-15,78638.17
PO-0369,Supplier E,Clinical,Equipment,73283,2025-06-04,54213.31
PO-0370,Supplier F,Facilities,Reagents,68540,2025-10-14,52402.2
PO-0371,Supplier G,Manufacturing,Lab Supplies,108709,2027-01-01,66226.81
PO-0372,Supplier H,Finance,Hardware,30316,2025-04-07,19458.02
PO-0373,Supplier I,R&D,Equipment,11978,2027-05-24,11378.62
PO-0374,Supplier J,Facilities,Equipment,142041,2026-11-14,101125.08
PO-0375,Supplier K,Quality,Office Supplies,40496,2025-11-26,38966.61
